"FirstName","LastName","DisplayName","SamAccountName","DistinguishedName","EmailAddress","EmpID","Title","Department","Guid","Created","Modified","Enabled","UserPrincipalName","SID","PrimaryGroupID","PasswordLastSet","LastLogonDate","AccountExpirationDate","LockoutTime","LockedOut","LogonCount","BadPasswordCount","PasswordNeverExpires","CannotChangePassword","SmartCardRequired","Manager","Office","PhoneNumber","Mobile","Company"
"Avery","King","Avery King","aking","CN=King,Avery,OU=Users,OU=Marketing,DC=adnauseumgaming,DC=com","aking@adnauseumgaming.com","5267","Contract Manager","Marketing","d056ee54-9fc0-494d-9af5-f7c2642a65af","12/9/2024 9:16 PM","7/9/2025 9:16 PM","TRUE","aking@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/11/2025 9:16 PM","7/21/2025 9:16 PM","","","FALSE","74","0","FALSE","FALSE","FALSE","","Building G, Floor 2","555-1000","555-2000","AdNauseum Gaming"
"Harper","Moore","Harper Moore","hmoore","CN=Moore,Harper,OU=Users,OU=Marketing,DC=adnauseumgaming,DC=com","hmoore@adnauseumgaming.com","3646","HR Specialist","Marketing","18179a90-9627-4e82-9ac4-262349a98de9","6/17/2025 9:16 PM","7/19/2025 9:16 PM","TRUE","hmoore@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/1/2025 9:16 PM","7/21/2025 9:16 PM","","","FALSE","71","1","FALSE","FALSE","FALSE","ladams","Building C, Floor 2","555-1000","555-2000","AdNauseum Gaming"
"Brandon","Patterson","Brandon Patterson","bpatterson","CN=Patterson,Brandon,OU=Users,OU=Marketing,DC=adnauseumgaming,DC=com","bpatterson@adnauseumgaming.com","2592","Operations Manager","Marketing","e262f88c-1984-4b4e-ab12-1912720e8f8e","3/15/2025 9:16 PM","7/16/2025 9:16 PM","TRUE","bpatterson@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/19/2025 9:16 PM","7/18/2025 9:16 PM","","","FALSE","342","0","FALSE","FALSE","FALSE","scooper325","Building J, Floor 2","555-1000","555-2000","AdNauseum Gaming"
"Nora","Davis","Nora Davis","ndavis","CN=Davis,Nora,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","ndavis@adnauseumgaming.com","2043","Treasury Analyst","Sales","d8fedd88-4d9b-417a-a26f-1c54a38cc85d","12/1/2024 9:16 PM","7/17/2025 9:16 PM","TRUE","ndavis@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/6/2025 9:16 PM","7/18/2025 9:16 PM","","","FALSE","347","1","FALSE","FALSE","FALSE","gdiaz","Building A, Floor 2","555-1000","555-2000","AdNauseum Gaming"
"Julie","Simmons","Julie Simmons","jsimmons","CN=Simmons,Julie,OU=Users,OU=Finance,DC=adnauseumgaming,DC=com","jsimmons@adnauseumgaming.com","3396","DevOps Engineer","Finance","892bdcaa-6d41-4c1b-b336-f4da9b83e0cf","8/11/2024 9:16 PM","6/25/2025 9:16 PM","TRUE","jsimmons@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/14/2025 9:16 PM","7/21/2025 9:16 PM","","","FALSE","202","0","FALSE","FALSE","FALSE","jclark","Building C, Floor 1","555-1000","555-2000","AdNauseum Gaming"
"David","Price","David Price","dprice","CN=Price,David,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","dprice@adnauseumgaming.com","3232","Software Engineer","Sales","f88b400d-4eb1-443b-8723-a2aaa06b6a2a","12/30/2024 9:16 PM","6/28/2025 9:16 PM","TRUE","dprice@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/11/2025 9:16 PM","7/21/2025 9:16 PM","","","FALSE","395","0","FALSE","FALSE","FALSE","mfoster","Building A, Floor 1","555-1000","555-2000","AdNauseum Gaming"
"Jacqueline","King","Jacqueline King","jking","CN=King,Jacqueline,OU=Users,OU=Finance,DC=adnauseumgaming,DC=com","jking@adnauseumgaming.com","8213","Supply Chain Manager","Finance","32994cca-801e-4710-b652-e9d876c2913a","11/11/2024 9:16 PM","7/10/2025 9:16 PM","TRUE","jking@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/19/2025 9:16 PM","7/17/2025 9:16 PM","","","FALSE","256","0","FALSE","FALSE","FALSE","mallen","Building J, Floor 2","555-1000","555-2000","AdNauseum Gaming"
"Christine","Clark","Christine Clark","cclark","CN=Clark,Christine,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","cclark@adnauseumgaming.com","3047","Systems Administrator","IT","24fcd098-7a36-4d2b-a43c-6a36104be855","12/12/2024 9:16 PM","7/11/2025 9:16 PM","TRUE","cclark@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/2/2025 9:16 PM","7/22/2025 9:16 PM","","","FALSE","354","0","FALSE","FALSE","FALSE","rrodriguez","Building H, Floor 1","555-1000","555-2000","AdNauseum Gaming"
"Layla","Davis","Layla Davis","ldavis","CN=Davis,Layla,OU=Users,OU=HR,DC=adnauseumgaming,DC=com","ldavis@adnauseumgaming.com","2354","Account Executive","HR","2ac4abad-9531-430c-ac97-0fc4e2170f40","5/2/2025 9:16 PM","6/27/2025 9:16 PM","TRUE","ldavis@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/12/2025 9:16 PM","7/19/2025 9:16 PM","","","FALSE","186","1","FALSE","FALSE","FALSE","ljenkins","Building F, Floor 1","555-1000","555-2000","AdNauseum Gaming"
"Daniel","Parker","Daniel Parker","dparker","CN=Parker,Daniel,OU=Users,OU=Marketing,DC=adnauseumgaming,DC=com","dparker@adnauseumgaming.com","9619","Financial Analyst","Marketing","69021b29-8e44-46ef-acaa-6128d383f11a","5/6/2025 9:16 PM","6/25/2025 9:16 PM","TRUE","dparker@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/10/2025 9:16 PM","7/17/2025 9:16 PM","","","FALSE","219","1","FALSE","FALSE","FALSE","","Building I, Floor 1","555-1000","555-2000","AdNauseum Gaming"
