"FirstName","LastName","DisplayName","SamAccountName","DistinguishedName","EmailAddress","EmpID","Title","Department","Guid","Created","Modified","Enabled","UserPrincipalName","SID","PrimaryGroupID","PasswordLastSet","LastLogonDate","AccountExpirationDate","LockoutTime","LockedOut","LogonCount","BadPasswordCount","PasswordNeverExpires","CannotChangePassword","SmartCardRequired","Manager","Office","PhoneNumber","Mobile","Company","whenCreated","whenChanged","pwdLastSet","accountExpires"
"Avery","Gutierrez","Avery Gutierrez","agutierrez","CN=Gutierrez,Avery,OU=Users,OU=HR,DC=adnauseumgaming,DC=com","agutierrez@adnauseumgaming.com","6854","Supply Chain Manager","HR","5078d0ee-26f5-4715-a375-65dfd44e32f4","5/30/2025 9:47 PM","7/7/2025 9:47 PM","TRUE","agutierrez@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/5/2025 9:47 PM","7/21/2025 9:47 PM","","","FALSE","407","0","FALSE","FALSE","FALSE","","Building H, Floor 2","555-1000","555-2000","AdNauseum Gaming","5/30/2025 9:47 PM","7/7/2025 9:47 PM","7/5/2025 9:47 PM",""
"Patricia","Garcia","Patricia Garcia","pgarcia","CN=Garcia,Patricia,OU=Users,OU=Engineering,DC=adnauseumgaming,DC=com","pgarcia@adnauseumgaming.com","6908","Sales Manager","Engineering","b78b90f4-d7e6-4e2c-888a-9af8b3de7203","1/1/2025 9:47 PM","7/5/2025 9:47 PM","TRUE","pgarcia@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/22/2025 9:47 PM","7/18/2025 9:47 PM","","","FALSE","54","1","FALSE","FALSE","FALSE","","Building D, Floor 2","555-1000","555-2000","AdNauseum Gaming","1/1/2025 9:47 PM","7/5/2025 9:47 PM","7/22/2025 9:47 PM",""
"Grace","Cook","Grace Cook","gcook","CN=Cook,Grace,OU=Users,OU=Legal,DC=adnauseumgaming,DC=com","gcook@adnauseumgaming.com","1611","Product Manager","Legal","16c87943-09f1-4522-aa5f-1321129bd421","11/8/2024 9:47 PM","6/28/2025 9:47 PM","TRUE","gcook@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","7/20/2025 9:47 PM","7/20/2025 9:47 PM","","","FALSE","297","0","FALSE","FALSE","FALSE","jmitchell","Building B, Floor 1","555-1000","555-2000","AdNauseum Gaming","11/8/2024 9:47 PM","6/28/2025 9:47 PM","7/20/2025 9:47 PM",""
"Zachary","Thomas","Zachary Thomas","zthomas","CN=Thomas,Zachary,OU=Users,OU=Sales,DC=adnauseumgaming,DC=com","zthomas@adnauseumgaming.com","8756","Data Analyst","Sales","ce26e889-a4a1-474c-a822-3435e16c1b90","10/29/2024 9:47 PM","6/26/2025 9:47 PM","TRUE","zthomas@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/15/2025 9:47 PM","7/18/2025 9:47 PM","","","FALSE","159","1","FALSE","FALSE","FALSE","dcampbell","Building F, Floor 1","555-1000","555-2000","AdNauseum Gaming","10/29/2024 9:47 PM","6/26/2025 9:47 PM","6/15/2025 9:47 PM",""
"Andrea","Reyes","Andrea Reyes","areyes","CN=Reyes,Andrea,OU=Users,OU=Operations,DC=adnauseumgaming,DC=com","areyes@adnauseumgaming.com","9882","Digital Marketing Manager","Operations","6240ff0e-ca1c-4ab5-af06-1d24a9028d9d","11/9/2024 9:47 PM","7/10/2025 9:47 PM","TRUE","areyes@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/10/2025 9:47 PM","7/20/2025 9:47 PM","","","FALSE","367","1","FALSE","FALSE","FALSE","jclark498","Building K, Floor 1","555-1000","555-2000","AdNauseum Gaming","11/9/2024 9:47 PM","7/10/2025 9:47 PM","6/10/2025 9:47 PM",""
"Henry","Reyes","Henry Reyes","hreyes","CN=Reyes,Henry,OU=Users,OU=IT,DC=adnauseumgaming,DC=com","hreyes@adnauseumgaming.com","2285","Recruiter","IT","3ea947cf-6628-4afa-89fa-8282a384bf1d","8/15/2024 9:47 PM","6/30/2025 9:47 PM","TRUE","hreyes@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/23/2025 9:47 PM","7/22/2025 9:47 PM","","","FALSE","78","1","FALSE","FALSE","FALSE","jwilson","Building B, Floor 2","555-1000","555-2000","AdNauseum Gaming","8/15/2024 9:47 PM","6/30/2025 9:47 PM","6/23/2025 9:47 PM",""
"Gregory","Kelly","Gregory Kelly","gkelly","CN=Kelly,Gregory,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","gkelly@adnauseumgaming.com","9292","Business Analyst","Security","1fca5bcf-f7bf-4a7d-8c63-7215174d98fe","11/24/2024 9:47 PM","7/1/2025 9:47 PM","TRUE","gkelly@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","5/28/2025 9:47 PM","7/19/2025 9:47 PM","","","FALSE","362","0","FALSE","FALSE","FALSE","ggreen","Building J, Floor 2","555-1000","555-2000","AdNauseum Gaming","11/24/2024 9:47 PM","7/1/2025 9:47 PM","5/28/2025 9:47 PM",""
"Charlotte","Cooper","Charlotte Cooper","ccooper","CN=Cooper,Charlotte,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","ccooper@adnauseumgaming.com","9092","Operations Analyst","Accounting","9bd5f574-97e8-4854-ab18-defe4838a389","10/22/2024 9:47 PM","7/11/2025 9:47 PM","TRUE","ccooper@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","5/30/2025 9:47 PM","7/21/2025 9:47 PM","","","FALSE","476","1","FALSE","FALSE","FALSE","scox","Building I, Floor 1","555-1000","555-2000","AdNauseum Gaming","10/22/2024 9:47 PM","7/11/2025 9:47 PM","5/30/2025 9:47 PM",""
"Emily","Ward","Emily Ward","eward","CN=Ward,Emily,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","eward@adnauseumgaming.com","7450","Systems Administrator","Security","78c6a115-d2d1-4027-87d8-7e4953bd8e4e","10/13/2024 9:47 PM","7/7/2025 9:47 PM","TRUE","eward@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/24/2025 9:47 PM","7/23/2025 9:47 PM","","","FALSE","283","1","FALSE","FALSE","FALSE","awalker","Building I, Floor 3","555-1000","555-2000","AdNauseum Gaming","10/13/2024 9:47 PM","7/7/2025 9:47 PM","6/24/2025 9:47 PM",""
"Steven","Ross","Steven Ross","sross","CN=Ross,Steven,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","sross@adnauseumgaming.com","3986","Treasury Analyst","Accounting","76c6aa38-0918-413e-af4a-cde1dc9cf982","1/14/2025 9:47 PM","6/28/2025 9:47 PM","TRUE","sross@adnauseumgaming.com","S-1-5-21-1234567890-1234567890-1234567890-1000","513","6/2/2025 9:47 PM","7/23/2025 9:47 PM","","","FALSE","495","1","FALSE","FALSE","FALSE","dhall","Building G, Floor 2","555-1000","555-2000","AdNauseum Gaming","1/14/2025 9:47 PM","6/28/2025 9:47 PM","6/2/2025 9:47 PM",""
