"FirstName","LastName","DisplayName","SamAccountName","DistinguishedName","EmailAddress","EmpID","JobTitle","Department","Guid","Created","Modified","Enabled"
"Maryellen","Bryan","Maryellen Bryan","mbryan","CN=Bryan,Maryellen,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","mbryan@adnauseumgaming.com","GB8208","Cybersecurity Engineer","Security","e75604e1-a9d5-4ecf-8fed-b7383d97eacb","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Krista","Robertson","Krista Robertson","krobertson","CN=Robertson,Krista,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","krobertson@adnauseumgaming.com","LN2725","Cybersecurity Engineer","Security","dc15f706-c4a9-425c-af98-465449d61c43","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Bernadine","Parsons","Bernadine Parsons","bparsons","CN=Parsons,Bernadine,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","bparsons@adnauseumgaming.com","RZ2556","Cybersecurity Analyst","Security","f4aa2f30-0c38-4ee7-b41f-abbb3bcff860","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Rodolfo","Bolton","Rodolfo Bolton","rbolton","CN=Bolton,Rodolfo,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","rbolton@adnauseumgaming.com","WE1604","Financial Analyst","Accounting","17871c97-039c-462e-ac36-149f1f69e637","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Alana","Silva","Alana Silva","asilva","CN=Silva,Alana,OU=Users,OU=Accounting,DC=adnauseumgaming,DC=com","asilva@adnauseumgaming.com","AU5669","Financial Analyst","Accounting","e535252b-5054-4712-9f6f-015a66a533c4","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Joanna","Montgomery","Joanna Montgomery","jmontgomery","CN=Montgomery,Joanna,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","jmontgomery@adnauseumgaming.com","LJ8112","Cybersecurity Engineer","Security","e1818fc7-8856-4079-8618-da07f7595ba6","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Darrick","Wilkins","Darrick Wilkins","dwilkins","CN=Wilkins,Darrick,OU=Users,OU=Marketing,DC=adnauseumgaming,DC=com","dwilkins@adnauseumgaming.com","JU4722","Marketing Analyst","Marketing","76d245d1-fbda-480c-bc58-ed618aa0457f","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Serena","Castillo","Serena Castillo","scastillo","CN=Castillo,Serena,OU=Users,OU=HR,DC=adnauseumgaming,DC=com","scastillo@adnauseumgaming.com","BF1406","HR Analyst","HR","c0a40cab-0df3-4be3-9612-29c826d91281","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Avis","Carney","Avis Carney","acarney","CN=Carney,Avis,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","acarney@adnauseumgaming.com","OB6353","Cybersecurity Engineer","Security","63e15f79-6b0a-4028-871d-3ffba8e5db3e","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Jodie","Bowen","Jodie Bowen","jbowen","CN=Bowen,Jodie,OU=Users,OU=Security,DC=adnauseumgaming,DC=com","jbowen@adnauseumgaming.com","IB4956","Cybersecurity Engineer","Security","f35a0fc5-1fdd-4fa0-a06e-be9a81743099","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
"Rose","Mcclure","Rose Mcclure","rmcclure","CN=Mcclure,Rose,OU=Users,OU=Marketing,DC=adnauseumgaming,DC=com","rmcclure@adnauseumgaming.com","RV0736","Marketing Analyst","Marketing","50b6c63a-4302-4014-a005-fd0ef1d7da5e","1/14/2025 12:08 PM","1/14/2025 12:08 PM","TRUE"
